종목코드,업종
234300,기타
064850,벤처기업부
035610,벤처기업부
001260,기타
066590,기타
104040,벤처기업부
023000,기타
170030,기타
446840,기술성장기업부
355150,벤처기업부
299660,기술성장기업부
168330,벤처기업부
451250,벤처기업부
330730,기타
054670,기타
228670,벤처기업부
066790,관리종목(소속부없음)
038540,기타
459100,기타
011150,기타
004840,기타
058860,기타
065510,기타
061250,기타
004650,기타
008260,기타
053280,기타
001560,기타
039020,기타
141000,벤처기업부
008700,기타
004890,기타
006890,기타
036010,기타
002700,기타
417010,벤처기업부
059270,기술성장기업부
478560,벤처기업부
004100,기타
204840,기술성장기업부
072020,벤처기업부
149980,관리종목(소속부없음)
079980,기타
307930,기타
011370,기타
058400,기타
347860,벤처기업부
096775,기타
003780,기타
037350,기타
900250,외국기업(소속부없음)
011320,기타
163560,기타
317770,벤처기업부
007980,기타
120240,기타
053700,기타
126880,기타
041520,기타
306620,벤처기업부
173130,기타
130580,기타
033230,기타
002720,기타
002600,기타
000590,기타
027050,기타
105330,기타
060560,기타
063440,기타
036580,기타
001275,기타
382800,기타
183490,기술성장기업부
045660,벤처기업부
251630,벤처기업부
348080,투자주의환기종목(소속부없음)
111710,기타
389140,벤처기업부
432470,벤처기업부
006490,기타
0010V0,벤처기업부
084730,기타
299170,기타
452400,벤처기업부
036640,기타
060310,벤처기업부
172670,벤처기업부
378800,기술성장기업부
260930,기타
307180,벤처기업부
265740,기타
123420,기타
048430,기타
131400,벤처기업부
289080,기타
273640,벤처기업부
006090,기타
088390,기타
042500,기타
453860,벤처기업부
010960,기타
417790,벤처기업부
104620,기타
025550,기타
208140,기타
339950,기타
330350,기타
142280,기타
348350,기타
090470,기타
007280,기타
059120,벤처기업부
212710,기술성장기업부
014470,기타
180400,관리종목(소속부없음)
216050,기타
042940,기타
078935,기타
228850,기타
232530,일반기업부
209640,기타
250060,기술성장기업부
246960,기술성장기업부
024800,기타
448710,벤처기업부
027830,벤처기업부
241690,기타
111380,기타
041910,기타
024830,기타
372910,기타
263800,기타
054780,기타
001380,기타
010040,기타
005750,기타
091440,투자주의환기종목(소속부없음)
393210,기술성장기업부
318160,벤처기업부
094850,벤처기업부
065500,기타
020710,기타
214270,기타
007590,기타
078890,기타
376930,기술성장기업부
338100,기타
009200,기타
195990,투자주의환기종목(소속부없음)
203650,기타
089850,기타
054040,기타
315640,기술성장기업부
033320,벤처기업부
011390,기타
054620,기타
382480,벤처기업부
159580,기타
222110,기술성장기업부
187420,기술성장기업부
413390,기타
222810,관리종목(소속부없음)
006140,기타
072770,기타
007820,벤처기업부
175250,관리종목(소속부없음)
288330,관리종목(소속부없음)
475430,기타
096350,벤처기업부
225190,기타
039610,기타
032850,벤처기업부
311320,기술성장기업부
412540,관리종목(소속부없음)
012690,기타
140070,기타
074430,기타
460870,벤처기업부
084670,기타
476080,기타
002800,기타
307870,벤처기업부
347000,기술성장기업부
009770,기타
002795,기타
234100,기타
009180,기타
006880,기타
001470,기타
002230,기타
222160,관리종목(소속부없음)
016250,기타
288620,벤처기업부
262260,기타
039010,기타
217330,기술성장기업부
261780,기술성장기업부
054300,벤처기업부
000850,기타
002630,기타
004720,기타
016090,기타
004830,기타
033310,기타
067290,기타
479960,기타
446540,기타
317690,기술성장기업부
115440,기타
389030,기술성장기업부
357580,기술성장기업부
068330,기타
365590,기술성장기업부
036090,기타
019990,기타
062970,기타
203690,관리종목(소속부없음)
055490,기타
171120,기타
032540,기타
153710,기술성장기업부
388790,벤처기업부
111110,기타
046210,벤처기업부
270520,벤처기업부
003560,기타
053260,기타
053450,기타
129260,기타
067370,기술성장기업부
013870,기타
265560,기타
053050,기타
039240,기타
036670,기타
377030,기술성장기업부
040910,투자주의환기종목(소속부없음)
311390,벤처기업부
004590,기타
064090,기타
137950,기타
024900,기타
162300,기타
388610,기술성장기업부
043650,기타
413640,벤처기업부
049480,기타
215360,기타
340930,벤처기업부
036120,기타
099220,기타
001290,기타
104540,기술성장기업부
012790,기타
071090,기타
373160,기술성장기업부
192250,벤처기업부
101330,기타
043710,기타
052220,기타
351330,벤처기업부
038460,기타
017480,기타
024740,기타
364950,벤처기업부
417840,벤처기업부
038680,기타
000220,기타
004540,기타
303360,기술성장기업부
347740,벤처기업부
127980,기타
036000,기타
435570,벤처기업부
145170,기타
109860,기타
234920,벤처기업부
369370,벤처기업부
097800,기타
261200,기타
302430,벤처기업부
451220,기술성장기업부
080010,기타
199550,벤처기업부
066980,기타
043910,벤처기업부
078860,투자주의환기종목(소속부없음)
081150,기타
403490,벤처기업부
013700,기타
052790,기타
053980,기타
321820,기술성장기업부
064240,기타
004060,기타
222040,기타
031820,기타
180060,일반기업부
041460,기타
088130,기타
432430,기술성장기업부
212560,기타
155650,기타
221800,기술성장기업부
007370,기타
128660,기타
073640,관리종목(소속부없음)
023440,기타
396300,기타
120115,기타
010470,기타
039420,기타
094840,벤처기업부
290720,투자주의환기종목(소속부없음)
066310,벤처기업부
950200,외국기업(소속부없음)
014990,기타
456570,일반기업부
333620,벤처기업부
065530,기타
200230,기타
054930,기타
241790,기타
092440,기타
017650,기타
332370,기타
000910,기타
003925,기타
007720,기타
900300,외국기업(소속부없음)
384470,기술성장기업부
100030,벤처기업부
226360,투자주의환기종목(소속부없음)
100220,기타
095270,벤처기업부
114450,기타
226330,기술성장기업부
263600,기타
357250,기타
004450,기타
072470,기타
033170,기타
003010,기타
133820,기타
099410,벤처기업부
241840,기타
361570,기타
290740,벤처기업부
320000,기타
407400,벤처기업부
061040,기타
094940,벤처기업부
000950,기타
037030,기타
419120,기타
010280,기타
142760,기술성장기업부
189980,기타
277070,기타
006370,기타
198440,기타
042110,기타
186230,벤처기업부
217500,벤처기업부
037950,기타
352700,기타
088340,벤처기업부
28513K,기타
092300,기타
263690,기타
355390,기술성장기업부
37550L,기타
317850,벤처기업부
004910,기타
037440,기타
072130,기타
378850,기타
040610,기타
010240,기타
018500,기타
122310,기타
015710,기타
023810,기타
050960,벤처기업부
393970,벤처기업부
196300,관리종목(소속부없음)
218150,벤처기업부
138360,기타
033830,기타
075180,기타
005670,기타
200350,기술성장기업부
111870,관리종목(소속부없음)
002140,기타
219750,기타
155660,기타
038070,기타
007530,기타
170790,기타
184230,벤처기업부
051630,기타
049550,기타
457370,기타
340360,기타
038880,투자주의환기종목(소속부없음)
314140,기타
058730,기타
002760,기타
000725,기타
331380,투자주의환기종목(소속부없음)
177900,기술성장기업부
037330,기타
263700,기타
097780,기타
084180,기타
080530,기타
199480,기술성장기업부
090410,기타
008370,기타
000890,기타
256630,벤처기업부
452200,기술성장기업부
440290,기타
047400,기타
066670,기타
052670,관리종목(소속부없음)
495900,일반기업부
004440,기타
227950,기타
067920,기타
294630,기술성장기업부
462510,기술성장기업부
004920,기타
045340,벤처기업부
466410,벤처기업부
073570,관리종목(소속부없음)
052900,기타
206400,기타
024840,기타
017180,기타
053270,기타
109960,투자주의환기종목(소속부없음)
025560,기타
004410,기타
