종목코드,종목명,기준일,업종,종가,거래대금(억원),RSI14,MFI14,MACD_Slope,BandWidth,ret_5d_%,ret_10d_%,ret_60d_%,rel_60d_%,EBS,근거,추천매수가,손절가,추천매도가1,RR1,Now%,ma20_above,업종_대분류,Sector_Mom_5d,LDY_SCORE,ENTRY_SCORE,ROUTE,REGIME
005490,POSCO홀딩스,20251212,1차 철강 제조업,319500,1358.7,63.3,53.1,492.49826,6.9,2.73,3.23,12.11,-10.61,3,Squeeze,311800,294942,337085,1.5,2.47,1,기타,5.58321554770318,65.5,82.6,⚡ Squeeze (급변동 임박),④ 바닥 반등 시도
120110,코오롱인더,20251212,화학섬유 제조업,46400,104.0,70.3,59.1,6.55829,22.6,3.34,13.73,20.52,-2.2,2,,43192,39099,49331,1.5,7.43,1,기타,5.58321554770318,65.5,62.8,🔺 Watch (상승 준비),③ 박스 / 중립
005387,현대차2우B,20251212,기타,210500,204.4,64.8,62.6,12.63562,14.7,-2.55,8.12,21.33,-1.39,4,수급↑,201905,189205,227305,2.0,4.26,1,자동차·모빌리티,-2.902142857142857,65.5,53.0,🔺 Watch (상승 준비),③ 박스 / 중립
278470,에이피알,20251212,기타 화학제품 제조업,247500,632.0,50.0,44.3,-782.07221,23.0,-2.75,-3.13,13.53,-9.19,2,,246600,221940,283590,1.5,0.36,1,기타,5.58321554770318,65.3,91.1,↩️ PULL (눌림),⑤ 하락 / 약세
071050,한국금융지주,20251212,기타 금융업,167400,765.8,64.0,51.0,501.88475,9.6,2.07,4.36,11.6,-11.12,3,Squeeze,160470,148970,177720,1.5,4.32,1,금융,2.2256249999999995,65.3,67.5,⚡ Squeeze (급변동 임박),④ 바닥 반등 시도
032820,우리기술,20251212,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",4045,245.7,67.8,68.9,5.766,12.2,0.62,4.39,3.98,-6.68,3,수급↑,3865,3577,4297,1.5,4.64,1,기타,5.58321554770318,65.2,73.9,🔺 Watch (상승 준비),④ 바닥 반등 시도
240810,원익IPS,20251212,특수 목적용 기계 제조업,62400,240.8,65.7,57.0,53.38361,11.4,0.97,1.79,40.7,30.04,2,,61390,56732,68375,1.5,1.65,1,조선·기계·방산,6.275344827586206,65.1,85.9,🔺 Watch (상승 준비),① 강한 상승 추세
090710,휴림로봇,20251212,특수 목적용 기계 제조업,5850,921.5,69.6,78.1,10.82342,24.1,7.14,9.76,93.71,83.05,3,수급↑,5358,4822,6162,1.5,9.17,1,조선·기계·방산,6.275344827586206,65.1,55.8,🔺 Watch (상승 준비),① 강한 상승 추세
220100,퓨쳐켐,20251212,의약품 제조업,31000,566.3,52.8,59.9,-109.7348,16.6,2.48,-6.34,48.33,37.67,1,,31000,27900,35650,1.5,0.0,0,기타,5.58321554770318,65.0,92.5,↩️ PULL (눌림),② 상승 후 조정
347850,디앤디파마텍,20251212,자연과학 및 공학 연구개발업,87700,1629.1,24.5,34.7,94.72149,25.9,-8.55,-7.49,119.03,108.37,1,,87700,78930,100855,1.5,0.0,0,기타,5.58321554770318,64.9,92.5,↩️ PULL (눌림),⑤ 하락 / 약세
000810,삼성화재,20251212,보험업,489500,1180.2,52.1,56.5,-4393.30369,28.6,-6.23,1.66,4.15,-18.57,1,,489500,440550,562925,1.5,0.0,0,금융,2.2256249999999995,64.9,84.8,↩️ PULL (눌림),⑤ 하락 / 약세
352820,하이브,20251212,오디오물 출판 및 원판 녹음업,299500,598.5,56.7,56.9,367.65107,6.9,3.28,0.0,2.57,-20.15,3,Squeeze,293050,273907,321764,1.5,2.2,1,기타,5.58321554770318,64.9,83.7,⚡ Squeeze (급변동 임박),④ 바닥 반등 시도
028670,팬오션,20251212,해상 운송업,4055,85.7,65.5,80.3,-7.72451,26.3,-5.26,7.56,-2.64,-25.36,2,수급↑,3939,3580,4477,1.5,2.93,1,기타,5.58321554770318,64.9,80.8,↩️ PULL (눌림),⑤ 하락 / 약세
006340,대원전선,20251212,절연선 및 케이블 제조업,4160,1053.2,64.8,62.8,40.96244,21.9,13.35,3.74,40.07,17.35,4,수급↑,3710,3339,4452,2.0,12.13,1,기타,5.58321554770318,64.9,60.0,🔺 Watch (상승 준비),① 강한 상승 추세
009420,한올바이오파마,20251212,의약품 제조업,42550,1886.1,47.8,49.2,-584.75888,34.7,-16.73,-9.08,25.15,2.43,1,,42550,38295,48932,1.5,0.0,0,기타,5.58321554770318,64.8,92.5,↩️ PULL (눌림),③ 박스 / 중립
298380,에이비엘바이오,20251212,기초 의약물질 제조업,190000,1673.7,59.7,66.7,-711.90004,26.7,-0.31,1.06,80.44,69.78,3,수급↑,184775,166297,212491,1.5,2.83,1,기타,5.58321554770318,64.7,81.2,↩️ PULL (눌림),② 상승 후 조정
397030,에이프릴바이오,20251212,자연과학 및 공학 연구개발업,43400,960.5,67.8,79.6,90.97618,19.0,0.12,8.5,55.56,44.9,3,수급↑,39905,35914,45890,1.5,8.76,1,기타,5.58321554770318,64.7,57.5,🔺 Watch (상승 준비),① 강한 상승 추세
100840,SNT에너지,20251212,일반 목적용 기계 제조업,43300,81.7,66.1,70.4,122.88134,18.7,-1.37,13.8,-27.59,-50.31,3,수급↑,39740,35766,45701,1.5,8.96,1,조선·기계·방산,6.275344827586206,64.7,56.7,↩️ PULL (눌림),④ 바닥 반등 시도
207940,삼성바이오로직스,20251212,기초 의약물질 제조업,1692000,756.4,38.4,46.9,3567.77549,16.5,3.11,5.29,10.76,-11.96,1,,1692000,1582428,1856357,1.5,0.0,0,기타,5.58321554770318,64.5,92.5,🔻 REV (역추세 반등),④ 바닥 반등 시도
222800,심텍,20251212,전자부품 제조업,53200,377.8,56.0,59.4,-98.16134,15.8,-7.48,-1.85,82.5,71.84,1,,53200,47880,61180,1.5,0.0,0,기타,5.58321554770318,64.5,92.5,↩️ PULL (눌림),② 상승 후 조정
139480,이마트,20251212,종합 소매업,82200,153.5,65.8,62.5,56.58092,8.6,-0.12,5.12,6.89,-15.83,3,"수급↑,Squeeze",80400,76064,86903,1.5,2.24,1,기타,5.58321554770318,64.4,83.5,⚡ Squeeze (급변동 임박),④ 바닥 반등 시도
